UserID,Password,Name,Genre_1,Genre_2,Genre_3
sibyl,7S02NXS3,Sibyl Bode,rock,r&b,pop
eleazar,7S02NXS4,Eleazar Hettinger,rap,soul,hip hop
geovanny,7S02NXS5,Geovanny Lang,rap,country,soul
micah,7S02NXS6,Micah Satterfield,jazz,r&b,soul
courtney,7S02NXS7,Courtney Schowalter,soul,folk,metal
donato,7S02NXS8,Donato Daniel,metal,r&b,pop
caroline,7S02NXS9,Caroline Jaskolski,r&b,k-pop,electronic
vincent,6S02NXS1,Vincenza Collins,pop,folk,electronic
judd,6S02NXS2,Judd Becker,k-pop,folk,r&b
nathan,6S02NXS3,Nathanial Walsh,soul,metal,rap
korbin,6S02NXS4,Korbin Kirlin,rap,country,k-pop
kaleigh,6S02NXS5,Kaleigh McGlynn,hip hop,jazz,r&b
marielle,6S02NXS6,Marielle Wolf,metal,pop,soul
marcos,6S02NXS7,Marcos Raynor,rock,electronic,soul
eddie,6S02NXS8,Eddie Ebert ,folk,soul,rap
jaiden,6S02NXS9,Jaiden Jast,r&b,rock,rap
abigale,6S034N10,Abigale Kub,folk,soul,country
ana,6S034N11,Ana Williamson,k-pop,folk,hip hop
lora,6S034N12,Lora Berge,r&b,country,rock
mafalda,6S034N13,Mafalda MacGyver,soul,rap,rock
nolan,6S034N14,Nolan Kihn,hip hop,rap,country
camila,6S034N15,Camila Stoltenberg,folk,jazz,soul
josie,6S034N16,Josie Wisoky,electronic,soul,folk
zitas,6S034N17,Zita Rolfson,r&b,soul,folk
sebastian,6S034N18,Sebastian Borer,metal,soul,rock
aron,6S034N19,Aron Wilderman,metal,k-pop,electronic
thelma,6S034N20,Thelma Mitchell,soul,folk,rap
kristina,6S034N21,Kristina Hickle,rap,electronic,r&b
leola,6S034N22,Leola Gutkowski,pop,k-pop,jazz
nasir,6S034N23,Nasir Pfeffer,hip hop,folk,jazz
